id,Kecamatan,Kelurahan,Komuditas,Deskripsi,Harga
3517,Kadia,Wawanggu ,Pare,Pare segar dengan harga Rp 16.000/800g. Banyak untuk variasi masakan sehat. Pare ini kaya akan vitamin dan mineral yang baik untuk tubuh. Cocok untuk berbagai jenis masakan sehat,"16.000,00"
3518,Kadia,Wawanggu ,Labu Air,"Labu air segar seharga Rp 110.000/kg, kaya akan vitamin dan mineral penting untuk kesehatan tubuh Anda. Tambahkan ke dalam menu harian untuk variasi sayuran yang menyehatkan","110.000,00"
3519,Kadia,Wawanggu ,Terong,"Terong segar seharga Rp 16.500 per 750 gram, ideal untuk hidangan vegetarian atau vegan.","16.500,00"
3520,Kadia,Wawanggu ,Brokoli,"Brokoli berkualitas, langsung dari kebun ke meja Anda!","30.000,00"
3521,Kadia,Wawanggu ,Kubis,"Kubis pilihan terbaik untuk menu sehat Anda, sekarang hanya Rp 11.000 per kilogram!","11.000,00"
3522,Kadia,Wawanggu ,Capsicum/Paprika,"Paprika merah, hijau, dan kuning segar, ideal untuk salad sehat dan segar!","26.500,00"
3523,Kadia,Wawanggu ,Wortel,Tambahkan wortel berkualitas tinggi ke dalam hidangan Anda untuk rasa dan kesehatan optimal!,"15.000,00"
3524,Kadia,Wawanggu ,Kembang Kol,"Kembang kol segar dan lezat, dijual per kilo dengan harga Rp17.000. Sayur ini kaya akan vitamin dan serat. Tambahkan ke dalam menu harian Anda untuk rasa dan kesehatan terbaik","17.000,00"
3525,Kadia,Wawanggu ,Timun,"Timun segar baru panen, per kilo Rp15.500. Cocok untuk jus segar atau lalapan. Segera pesan di toko kami dan nikmati","15.500,00"
3526,Kadia,Wawanggu ,Pepaya,"Pepaya segar matang, per buah hanya Rp12.000. Sempurna untuk camilan sehat atau hidangan penutup. Segera pesan di toko kami!","12.000,00"
3527,Kadia,Wawanggu ,Kentang,"Kentang segar dan renyah, hanya Rp2.300 per buah. Ideal untuk berbagai hidangan lezat. Langsung dari kebun, segera pesan!","2.300,00"
3528,Kadia,Wawanggu ,Labu,"Labu segar dan manis, hanya Rp11.000 per buah. Sempurna untuk berbagai resep lezat. Segera pesan dan rasakan bedanya!","11.000,00"
3529,Kadia,Wawanggu ,Lobak,"Lobak Putih 1 kg
Lobak putih stok baru pilihan terbaik utamakan menggunakan kurir instan atau kurir Someday supaya menjaga kualitas produk tetap terjaga yuk diorder","17.000,00"
3530,Kadia,Wawanggu ,Tomat,"Promo spesial tomat segar, Rp9.000 per kilo! Cocok untuk berbagai masakan, dari sambal sampai tumis. Segera dapatkan tomat terbaik di lapak kami, segar dan berkualitas!","9.000,00"
4101,Kambu,Kambu,Ikan Bandeng,Pilihan terbaik ikan bandeng segar untuk sajian spesial.,"36.000,00"
4102,Kambu,Kambu,Ikan Lele,Pilihan terbaik ikan Lele segar untuk menu harian.,"23.500,00"
4103,Kambu,Kambu,Ikan Betok,Pilihan terbaik ikan betok segar untuk menu harian.,"33.500,00"
4104,Kambu,Kambu,Belut Air Tawar,"Belut air tawar segar, mudah diolah menjadi berbagai hidangan.","68.000,00"
4105,Kambu,Kambu,Ikan Emas,"Ikan emas segar, pilihan terbaik untuk keluarga Anda.","54.000,00"
4106,Kambu,Kambu,Ikan Gurami,"Ikan gurami segar, sempurna untuk berbagai jenis masakan.","70.000,00"
4107,Kambu,Kambu,Ikan Mas Rumput,"Ikan mas rumput segar, sempurna untuk masakan goreng atau bakar.","48.000,00"
4108,Kambu,Kambu,Ikan Buntal Bintik Hijau,"Ikan buntal bintik hijau berkualitas, segar dan bergizi.","169.000,00"
4109,Kambu,Kambu,Ikan Belida,Pilihan ikan belida segar terbaik untuk sajian spesial.,"100.000,00"
4110,Kambu,Kambu,Ikan Belanak,Rasakan kelembutan ikan belanak segar di setiap hidangan.,"63.000,00"
4111,Kambu,Kambu,Ikan Kiper,"Ikan kiper segar, langsung dari perairan ke meja makan.","35.000,00"
4112,Kambu,Kambu,Ikan Mas Perak,"Ikan mas perak segar, langsung dari kolam ke meja makan.","31.000,00"
4113,Kambu,Kambu,Ikan Nila,Pilihan ikan nila segar terbaik untuk masakan sehari-hari.,"34.000,00"
4114,Kambu,Kambu,Ikan Kepala Ular,"Ikan kepala ular segar, pilihan tepat untuk hidangan spesial.","110.000,00"
4115,Kambu,Kambu,Ikan Bulan-bulan,Pilihan ikan bulan-bulan segar terbaik untuk menu harian.,"72.000,00"
4116,Kambu,Kambu,Kacang Kapri,Nikmati kacang kapri yang crunchy dan manis ini sebagai camilan sehat atau bahan tambahan dalam berbagai masakan,"33.500,00"
4117,Kambu,Kambu,Pare,Pare segar dengan harga Rp 24.000/kg. Kaya gizi untuk kesehatan tubuh. Pare ini membantu menjaga keseimbangan gula darah dan memiliki banyak manfaat kesehatan lainnya. Pilihan tepat untuk diet sehat.,"24.000,00"
4118,Kambu,Kambu,Labu Air,"Labu air segar seharga Rp 120.000/kg, ideal untuk menu sehat sehari-hari. Labu air ini rendah kalori dan kaya akan serat, membantu menjaga kesehatan pencernaan Anda","120.000,00"
4119,Kambu,Kambu,Terong,"Terong segar hanya Rp 17.000 per 750 gram, cocok untuk tambahan sayuran dalam masakan Anda","17.000,00"
4120,Kambu,Kambu,Brokoli,Tambahkan brokoli segar ke dalam menu sehat harian Anda!,"32.000,00"
4121,Kambu,Kambu,Kubis,Segarkan hidangan Anda dengan kubis organik seharga Rp 12.000 per kilogram!,"12.000,00"
4122,Kambu,Kambu,Capsicum/Paprika,"Paprika premium dengan rasa manis dan pedas, cocok untuk segala jenis masakan!","27.000,00"
4123,Kambu,Kambu,Wortel,"Wortel organik langsung dari petani lokal, pilihan sehat untuk keluarga Anda!","8.000,00"
4124,Kambu,Kambu,Kembang Kol,"Kembang kol segar, dijual per buah dengan harga Rp12.000. Ideal untuk berbagai masakan sehat. Dapatkan kembang kol terbaik yang selalu segar dan renyah di lapak kami","12.000,00"
4125,Kambu,Kambu,Timun,"Timun hijau segar, per kilo hanya Rp13.000. Ideal untuk salad atau camilan sehat. Langsung dari kebun, segera pesan","13.000,00"
4126,Kambu,Kambu,Pepaya,"Pepaya segar berkualitas, hanya Rp18.000 per kilo. Sempurna untuk jus segar atau salad buah. Segera pesan dan nikmati manisnya","18.000,00"
4127,Kambu,Kambu,Kentang,"Kentang segar berkualitas, hanya Rp12.000 per kilo. Ideal untuk berbagai hidangan seperti kentang goreng atau mashed potato. Segera pesan!","12.000,00"
4128,Kambu,Kambu,Labu,"Labu dari petani lokal, dijual per buah Rp10.500. Ideal untuk masakan sehat sehari-hari. Langsung dari kebun, segera pesan!","10.500,00"
4129,Kambu,Kambu,Lobak,"Lobak/Lobak putih 1kg
Lobak putih fresh petik langsung dari kebun,siap di kirim ke seluruh indonesia","18.000,00"
4130,Kambu,Kambu,Tomat,"Tomat segar, dijual per buah cuma Rp1.000. Pas banget buat salad atau campuran masakan. Tomatnya segar dan enak, langsung dari petani. Jangan lewatkan kesempatan ini!","1.000,00"
4201,Kambu,Lalolara,Ikan Bandeng,Nikmati kelembutan ikan bandeng segar di setiap hidangan.,"35.000,00"
4202,Kambu,Lalolara,Ikan Lele,"Ikan Lele segar, cocok untuk berbagai masakan lezat.","27.000,00"
4203,Kambu,Lalolara,Ikan Betok,"Ikan betok segar, sempurna untuk berbagai jenis masakan.","31.000,00"
4204,Kambu,Lalolara,Belut Air Tawar,"Belut air tawar segar, langsung dari kolam ke dapur Anda.","74.000,00"
4205,Kambu,Lalolara,Ikan Emas,"Ikan emas segar, mudah diolah menjadi berbagai hidangan.","46.000,00"
4206,Kambu,Lalolara,Ikan Gurami,"Ikan gurami segar, cocok untuk masakan berkuah atau goreng.","72.000,00"
4207,Kambu,Lalolara,Ikan Mas Rumput,Rasakan kelembutan ikan mas rumput segar di setiap hidangan.,"45.000,00"
4208,Kambu,Lalolara,Ikan Buntal Bintik Hijau,Rasakan kelembutan ikan buntal bintik hijau segar di setiap hidangan.,"155.000,00"
4209,Kambu,Lalolara,Ikan Belida,"Ikan belida segar, sempurna untuk berbagai olahan kuliner.","99.000,00"
4210,Kambu,Lalolara,Ikan Belanak,"Ikan belanak segar, langsung dari laut ke meja makan.","56.000,00"
4211,Kambu,Lalolara,Ikan Kiper,"Ikan kiper segar, sumber protein yang tinggi untuk keluarga.","39.000,00"
4212,Kambu,Lalolara,Ikan Mas Perak,Rasakan kelembutan ikan mas perak segar di setiap hidangan.,"28.000,00"
4213,Kambu,Lalolara,Ikan Nila,"Ikan nila segar, kaya akan nutrisi untuk menu harian.","40.000,00"
4214,Kambu,Lalolara,Ikan Kepala Ular,"Ikan kepala ular segar, siap untuk berbagai jenis olahan lezat.","90.000,00"
4215,Kambu,Lalolara,Ikan Bulan-bulan,"Ikan bulan-bulan segar, sempurna untuk berbagai olahan kuliner.","82.000,00"
4216,Kambu,Lalolara,Kacang Kapri,"Kacang kapri ini mudah dimasak, cukup tumis sebentar dan Anda akan mendapatkan hidangan yang lezat dan bergizi","30.500,00"
4217,Kambu,Lalolara,Pare,Pare segar dengan harga Rp 30.000/kg. Terbaik untuk masakan mewah dan sehat. Pare ini kaya akan antioksidan dan nutrisi penting yang baik untuk kesehatan. Sempurna untuk hidangan spesial,"30.000,00"
4218,Kambu,Lalolara,Labu Air,"Labu air segar hanya Rp 10.000 per buah, sangat cocok untuk membuat berbagai masakan sehat dan lezat di rumah. Kaya akan serat dan vitamin, membantu menjaga kesehatan pencernaan Anda","10.000,00"
4219,Kambu,Lalolara,Terong,"Terong segar seharga Rp 18.500 per 800 gram, memberikan rasa dan tekstur yang lezat pada setiap hidangan.","18.500,00"
4220,Kambu,Lalolara,Brokoli,"Brokoli kami, segar dan penuh gizi, siap menemani hidangan Anda!","35.000,00"
4221,Kambu,Lalolara,Kubis,"Kubis lokal segar dari petani, hanya Rp 10.500 per kilogram!","10.500,00"
4222,Kambu,Lalolara,Capsicum/Paprika,"Paprika segar langsung dari kebun lokal, penuh nutrisi dan rasa!","25.500,00"
4223,Kambu,Lalolara,Wortel,"Wortel segar dengan warna oranye cerah, cocok untuk segala jenis masakan!","9.500,00"
4224,Kambu,Lalolara,Kembang Kol,"Kembang kol segar, putih, dan padat, dijual per kilo hanya Rp19.000. Cocok untuk berbagai masakan, dari sup hingga gratin. Ayo, beli sekarang sebelum kehabisan","19.000,00"
4225,Kambu,Lalolara,Timun,"Timun hijau segar dari kebun, per buah Rp2.200. Cocok untuk salad atau jus. Langsung dari petani, segar dan berkualitas!","2.200,00"
4226,Kambu,Lalolara,Pepaya,"Ayo beli pepaya segar kami, Rp20.000 per kilo. Ideal untuk aneka hidangan sehat. Langsung dari petani, segar dan manis","20.000,00"
4227,Kambu,Lalolara,Kentang,"Ayo beli kentang pilihan kami, Rp13.000 per kilo. Cocok untuk berbagai masakan sehat dan lezat. Langsung dari petani, segera pesan","13.000,00"
4228,Kambu,Lalolara,Labu,"Labu berkualitas tinggi, per buah Rp12.500. Cocok untuk dibuat puree atau pie. ","12.500,00"
4229,Kambu,Lalolara,Lobak,"Lobak Putih / Daikon / Radish 500gr
Jika Stok habis atau sudah tidak segar disaat Anda memesan, maka mohon maaf pesanan akan diproses H+1 ya untuk menjaga kualitas.","10.000,00"
4230,Kambu,Lalolara,Tomat,"Ayo, ayo, tomat segar baru panen! Dijual per kilo cuma Rp10.000. Cocok buat sambal, tumis, atau lalapan. Segera beli di lapak kami, tomatnya merah merona dan manis, langsung dari kebun!","10.000,00"
4301,Kambu,Mokoau,Ikan Bandeng,"Ikan bandeng segar, cocok untuk berbagai jenis olahan.","33.500,00"
4302,Kambu,Mokoau,Ikan Lele,"Ikan Lele segar, sempurna untuk masakan goreng atau bakar.","26.000,00"
4303,Kambu,Mokoau,Ikan Betok,"Ikan betok segar, cocok untuk masakan berkuah atau goreng.","34.000,00"
4304,Kambu,Mokoau,Belut Air Tawar,"Belut air tawar berkualitas, segar dan bergizi.","77.000,00"
4305,Kambu,Mokoau,Ikan Emas,"Ikan emas segar, langsung dari kolam ke dapur Anda.","53.000,00"
4306,Kambu,Mokoau,Ikan Gurami,Rasakan kelezatan ikan gurami segar di setiap hidangan.,"63.000,00"
4307,Kambu,Mokoau,Ikan Mas Rumput,"Ikan mas rumput berkualitas, segar dan bergizi.","44.000,00"
4308,Kambu,Mokoau,Ikan Buntal Bintik Hijau,"Ikan buntal bintik hijau segar, sempurna untuk masakan goreng atau bakar.","162.000,00"
4309,Kambu,Mokoau,Ikan Belida,"Ikan belida segar, cocok untuk masakan berkuah atau goreng.","105.000,00"
4310,Kambu,Mokoau,Ikan Belanak,"Ikan belanak segar, sumber protein yang kaya untuk keluarga.","59.000,00"
4311,Kambu,Mokoau,Ikan Kiper,"Ikan kiper segar, mudah diolah menjadi hidangan spesial.","40.000,00"
4312,Kambu,Mokoau,Ikan Mas Perak,"Ikan mas perak segar, cocok untuk masakan panggang atau goreng.","29.000,00"
4313,Kambu,Mokoau,Ikan Nila,Dapatkan ikan nila segar berkualitas untuk masakan lezat.,"39.000,00"
4314,Kambu,Mokoau,Ikan Kepala Ular,"Ikan kepala ular segar, kaya akan rasa dan gizi.","95.000,00"
4315,Kambu,Mokoau,Ikan Bulan-bulan,"Ikan bulan-bulan segar, cocok untuk masakan panggang atau goreng.","75.000,00"
4316,Kambu,Mokoau,Kacang Kapri,"Kacang kapri ini cocok untuk masakan cepat saji. Tumis sebentar dengan bumbu favorit, dan hidangan sehat siap disajikan","31.000,00"
4317,Kambu,Mokoau,Pare,Pare segar dengan harga Rp 9.000/450g. Pas untuk tambahan sayur bening. Pare ini kaya akan serat dan nutrisi penting yang baik untuk tubuh. Ideal untuk masakan sehat dan seimbang.,"9.000,00"
4318,Kambu,Mokoau,Labu Air,"Dapatkan labu air segar hanya dengan Rp 12.000 per buah. Sempurna untuk tumisan atau sup, memberikan rasa segar dan manfaat gizi yang luar biasa","12.000,00"
4319,Kambu,Mokoau,Terong,"Terong segar seharga Rp 19.000 per 800 gram, pilihan terbaik untuk menu sehat harian Anda.","19.000,00"
4320,Kambu,Mokoau,Brokoli,Jaga kesehatan dengan brokoli segar yang kaya manfaat!,"27.500,00"
4321,Kambu,Mokoau,Kubis,Dapatkan kubis renyah dan bergizi untuk salad Anda,"9.000,00"
4322,Kambu,Mokoau,Capsicum/Paprika,Paprika organik yang menambah kelezatan dan kesehatan pada setiap hidangan!,"28.000,00"
4323,Kambu,Mokoau,Wortel,"Wortel lezat dan bergizi, ideal untuk sup, salad, dan tumisan!","11.000,00"
4324,Kambu,Mokoau,Kembang Kol,"Kembang kol kualitas premium, dijual per buah dengan harga Rp14.000. Pas untuk masakan apapun, dari tumis hingga panggang.","14.000,00"
4325,Kambu,Mokoau,Timun,"Timun segar renyah, per buah hanya Rp1.500. Ideal untuk camilan sehat atau tambahan salad. Segera pesan sekarang juga!","1.500,00"
4326,Kambu,Mokoau,Pepaya,"Pepaya matang pohon, dijual per kilo seharga Rp19.000. Cocok untuk jus atau lalapan. Langsung dari kebun, segar dan berkualitas","19.000,00"
4327,Kambu,Mokoau,Kentang,"Kentang segar dan bernutrisi, dijual per kilo seharga Rp12.500. Sempurna untuk sup atau camilan. Langsung dari kebun, segera pesan","12.500,00"
4328,Kambu,Mokoau,Labu,"Labu segar kualitas terbaik, hanya Rp20.000 per kilo. Ideal untuk berbagai hidangan seperti sup ","20.000,00"
4329,Kambu,Mokoau,Lobak,"Manfaat Lobak Putih:
Kaya Nutrisi: Mengandung vitamin C, folat, dan kalium yang baik untuk kesehatan tubuh.Detoksifikasi: Membantu proses detoksifikasi tubuh dengan meningkatkan fungsi hati.Pencernaan Sehat: Serat alami dalam lobak putih membantu memperlancar pencernaan.
Spesifikasi Produk:
Berat Bersih: 1kg Kondisi: Segar Asal Produk: Kebun lokal Kemasan: Dikemas rapi untuk menjaga kesegaran dan kualitas","15.000,00"
4330,Kambu,Mokoau,Tomat,"Promo spesial tomat segar, Rp9.000 per kilo! Cocok untuk berbagai masakan, dari sambal sampai tumis. Segera dapatkan tomat terbaik di lapak kami, segar dan berkualitas!","9.000,00"
4401,Kambu,Padaleu,Ikan Bandeng,"Ikan bandeng segar, sempurna untuk masakan berkuah atau panggang.","29.500,00"
4402,Kambu,Padaleu,Ikan Lele,Rasakan kelembutan ikan Lele segar di setiap hidangan.,"24.000,00"
4403,Kambu,Padaleu,Ikan Betok,Rasakan kelezatan ikan betok segar di setiap hidangan.,"28.500,00"
4404,Kambu,Padaleu,Belut Air Tawar,Rasakan kelembutan belut air tawar segar di setiap hidangan.,"80.000,00"
4405,Kambu,Padaleu,Ikan Emas,"Ikan emas berkualitas, segar dan bergizi.","49.000,00"
4406,Kambu,Padaleu,Ikan Gurami,"Ikan gurami berkualitas, segar dan bergizi.","75.000,00"
4407,Kambu,Padaleu,Ikan Mas Rumput,"Ikan mas rumput segar, langsung dari kolam ke dapur Anda.","46.000,00"
4408,Kambu,Padaleu,Ikan Buntal Bintik Hijau,"Ikan buntal bintik hijau segar, cocok untuk berbagai masakan lezat.","175.000,00"
4409,Kambu,Padaleu,Ikan Belida,Rasakan kenikmatan ikan belida segar di setiap hidangan.,"97.000,00"
4410,Kambu,Padaleu,Ikan Belanak,"Ikan belanak segar, mudah diolah menjadi hidangan istimewa.","58.000,00"
4411,Kambu,Padaleu,Ikan Kiper,"Ikan kiper segar, pilihan terbaik untuk masakan keluarga.","42.000,00"
4412,Kambu,Padaleu,Ikan Mas Perak,Rasakan kelembutan ikan mas perak segar di setiap hidangan.,"30.000,00"
4413,Kambu,Padaleu,Ikan Nila,"Ikan nila segar, pilihan sempurna untuk hidangan keluarga.","38.000,00"
4414,Kambu,Padaleu,Ikan Kepala Ular,"Ikan kepala ular segar, pilihan terbaik untuk masakan sehari-hari.","98.000,00"
4415,Kambu,Padaleu,Ikan Bulan-bulan,Rasakan kelezatan ikan bulan-bulan segar di setiap hidangan.,"69.000,00"
4416,Kambu,Padaleu,Kacang Kapri,"Rasakan kesegaran kacang kapri dalam setiap gigitan. Polongnya renyah dan rasanya manis, cocok untuk segala jenis masakan","34.000,00"
4417,Kambu,Padaleu,Pare,Pare segar dengan harga Rp 13.500/675g. Lebih banyak untuk menu diet Anda. Pare ini membantu menjaga kesehatan pencernaan dan kaya akan vitamin. Tambahkan ke dalam menu harian Anda,"13.500,00"
4418,Kambu,Padaleu,Labu Air,"Labu air segar seharga Rp 15.000 per buah, ideal untuk tambahan menu diet sehat Anda. Labu ini rendah kalori dan kaya akan serat, menjaga tubuh tetap sehat.","15.000,00"
4419,Kambu,Padaleu,Terong,"Terong segar hanya Rp 20.000 per kilogram, kaya akan nutrisi dan serat yang penting untuk kesehatan.","20.000,00"
4420,Kambu,Padaleu,Brokoli,"Brokoli hijau segar, sempurna untuk masakan Anda!","29.000,00"
4421,Kambu,Padaleu,Kubis,"Kubis super segar dengan harga terjangkau, hanya Rp 10.200 per kilogram!","10.200,00"
4422,Kambu,Padaleu,Capsicum/Paprika,Dapatkan paprika berkualitas tinggi untuk menambah warna dan rasa pada makanan Anda!,"24.500,00"
4423,Kambu,Padaleu,Wortel,Nikmati manfaat kesehatan dari wortel segar yang renyah dan manis!,"13.000,00"
4424,Kambu,Padaleu,Kembang Kol,"Kembang kol segar, dijual per kilo dengan harga Rp16.000. Ideal untuk berbagai hidangan sehat. Pastikan Anda mendapatkan kembang kol terbaik di lapak kami hari ini","16.000,00"
4425,Kambu,Padaleu,Timun,"Timun segar baru panen, per buah Rp2.500. Cocok untuk lalapan atau jus segar. Segera pesan di toko kami dan nikmati","2.500,00"
4426,Kambu,Padaleu,Pepaya,"Pepaya segar baru panen, per kilo Rp17.000. Sempurna untuk camilan sehat atau hidangan penutup. Segera pesan dan rasakan bedanya","17.000,00"
4427,Kambu,Padaleu,Kentang,"Kentang berkualitas tinggi, hanya Rp13.500 per kilo. Cocok untuk olahan kentang goreng atau rebus. Pesan di toko kami sekarang","13.500,00"
4428,Kambu,Padaleu,Labu,"Labu dari petani lokal, dijual per kilo seharga Rp22.000. Cocok untuk berbagai masakan sehat dan lezat. Pesan sekarang!","22.000,00"
4429,Kambu,Padaleu,Lobak,"Lobak putih 500grm
lobak putih baru segar","6.000,00"
4430,Kambu,Padaleu,Tomat,"Tomat merah dan segar, dijual per buah dengan harga Rp1.500. Ideal buat salad atau jus tomat. Tomatnya manis dan segar, ayo buruan beli sebelum kehabisan!","1.500,00"
5101,Kendari,Gunung Jati,Ikan Bandeng,"Rasakan kesegaran ikan bandeng kami, siap untuk diolah","25.000,00"
5102,Kendari,Gunung Jati,Ikan Lele,"Ikan Lele berkualitas, segar dan bergizi.","19.000,00"
5103,Kendari,Gunung Jati,Ikan Betok,"Ikan betok berkualitas, segar dan bergizi.","35.000,00"
5104,Kendari,Gunung Jati,Belut Air Tawar,"Belut air tawar segar, sempurna untuk masakan goreng atau bakar.","73.000,00"
5105,Kendari,Gunung Jati,Ikan Emas,"Ikan emas segar, sempurna untuk masakan goreng atau bakar.","55.000,00"
5106,Kendari,Gunung Jati,Ikan Gurami,"Ikan gurami segar, langsung dari kolam ke dapur Anda.","64.000,00"
5107,Kendari,Gunung Jati,Ikan Mas Rumput,"Ikan mas rumput segar, mudah diolah menjadi berbagai hidangan.","39.000,00"
5108,Kendari,Gunung Jati,Ikan Buntal Bintik Hijau,Pilihan terbaik ikan buntal bintik hijau segar untuk menu harian.,"172.000,00"
5109,Kendari,Gunung Jati,Ikan Belida,"Ikan belida segar, langsung dari perairan ke meja makan Anda.","92.000,00"
5110,Kendari,Gunung Jati,Ikan Belanak,"Ikan belanak segar, pilihan terbaik untuk masakan keluarga.","54.000,00"
5111,Kendari,Gunung Jati,Ikan Kiper,"Ikan kiper segar, kaya akan rasa dan nutrisi.","41.000,00"
5112,Kendari,Gunung Jati,Ikan Mas Perak,"Ikan mas perak segar, cocok untuk masakan panggang atau goreng.","32.000,00"
5113,Kendari,Gunung Jati,Ikan Nila,"Ikan nila segar, siap untuk berbagai olahan kuliner.","37.000,00"
5114,Kendari,Gunung Jati,Ikan Kepala Ular,"Ikan kepala ular segar, mudah diolah menjadi hidangan istimewa.","105.000,00"
5115,Kendari,Gunung Jati,Ikan Bulan-bulan,"Ikan bulan-bulan segar, langsung dari perairan ke meja makan.","70.000,00"
5116,Kendari,Gunung Jati,Kacang Kapri,"Kacang kapri ini bisa diolah jadi keripik sehat! Panggang atau goreng ringan, jadi camilan sehat dan lezat","28.500,00"
5117,Kendari,Gunung Jati,Pare,Pare segar dengan harga Rp 19.000/950g. Banyak untuk stok sayuran sehat. Pare ini memiliki rasa pahit yang khas namun menyehatkan. Cocok untuk berbagai jenis masakan sehat.,"19.000,00"
5118,Kendari,Gunung Jati,Labu Air,"Labu air segar seharga Rp 18.000 per buah, sangat cocok untuk hidangan sehari-hari. Labu air ini memberikan rasa yang lezat dan manfaat kesehatan yang penting.","18.000,00"
5119,Kendari,Gunung Jati,Terong,"Terong segar seharga Rp 21.500 per kilogram, ideal untuk membuat berbagai jenis masakan sehat.","21.500,00"
5120,Kendari,Gunung Jati,Brokoli,Pilih brokoli segar kami untuk nutrisi terbaik setiap hari!,"33.000,00"
5121,Kendari,Gunung Jati,Kubis,"Tambahkan kubis sehat ke menu harian Anda, hanya Rp 11.500 per kilogram!","11.500,00"
5122,Kendari,Gunung Jati,Capsicum/Paprika,"Paprika warna-warni yang segar dan renyah, sempurna untuk hidangan apapun!","26.000,00"
5123,Kendari,Gunung Jati,Wortel,"Wortel premium yang kaya akan nutrisi, sempurna untuk diet sehat Anda!","14.500,00"
5124,Kendari,Gunung Jati,Kembang Kol,"Kembang kol segar dan renyah, per kilo hanya Rp21.500. Sempurna untuk hidangan sehat dan lezat. Pesan sekarang di toko kami dan rasakan kesegarannya","21.500,00"
5125,Kendari,Gunung Jati,Timun,"Timun segar berkualitas, per kilo hanya Rp14.500. Cocok untuk jus segar atau lalapan. Segera pesan dan nikmati kesegarannya","14.500,00"
5126,Kendari,Gunung Jati,Pepaya,"Pepaya matang pilihan, hanya Rp18.500 per kilo. Ideal untuk salad buah atau jus segar. Segera pesan di toko kami dan nikmati!","18.500,00"
5127,Kendari,Gunung Jati,Kentang,"Kentang segar dan renyah, per kilo Rp12.300. Ideal untuk berbagai jenis hidangan. Langsung dari petani, segera pesan","12.300,00"
5128,Kendari,Gunung Jati,Labu,"Labu segar dan bernutrisi, hanya Rp21.000 per kilo. Sempurna untuk dibuat kue atau pie. Langsung dari kebun, segera pesan!","21.000,00"
5129,Kendari,Gunung Jati,Lobak,"LOBAK PUTIH / LOBAK / SAYUR LOBAK / BUAH LOBAK
(Pembelian minimal 5kg atau 10x klik dapat bunus lobak 1kg)
Berat lebih dari 500gram, 
Berat selalu pas atau dilebihkan sedikit, tidak pernah kurang dari 500gr, kecuali menyusut atau pengiriman jauh dalam perjalanan.","7.949,00"
5130,Kendari,Gunung Jati,Tomat,"Tomat segar, dijual per buah cuma Rp1.000. Pas banget buat salad atau campuran masakan. Tomatnya segar dan enak, langsung dari petani. Jangan lewatkan kesempatan ini!","1.000,00"
5201,Kendari,Jati Mekar,Ikan Bandeng,"Ikan bandeng berkualitas, lezat dan bergizi.","28.000,00"
5202,Kendari,Jati Mekar,Ikan Lele,"Ikan Lele segar, langsung dari peternakan ke dapur Anda.","22.500,00"
5203,Kendari,Jati Mekar,Ikan Betok,"Ikan betok segar, langsung dari kolam ke dapur Anda.","36.000,00"
5204,Kendari,Jati Mekar,Belut Air Tawar,"Belut air tawar segar, cocok untuk berbagai masakan lezat.","78.000,00"
5205,Kendari,Jati Mekar,Ikan Emas,"Ikan emas segar, cocok untuk berbagai masakan lezat.","48.000,00"
5206,Kendari,Jati Mekar,Ikan Gurami,"Ikan gurami segar, mudah diolah menjadi berbagai hidangan.","66.000,00"
5207,Kendari,Jati Mekar,Ikan Mas Rumput,"Ikan mas rumput segar, pilihan terbaik untuk keluarga Anda.","43.000,00"
5208,Kendari,Jati Mekar,Ikan Buntal Bintik Hijau,"Ikan buntal bintik hijau segar, kaya akan nutrisi untuk keluarga Anda.","150.000,00"
5209,Kendari,Jati Mekar,Ikan Belida,"Ikan belida segar, pilihan terbaik untuk gizi keluarga.","101.000,00"
5210,Kendari,Jati Mekar,Ikan Belanak,"Ikan belanak segar, kaya akan rasa dan gizi.","50.000,00"
5211,Kendari,Jati Mekar,Ikan Kiper,"Ikan kiper segar, siap untuk berbagai olahan kuliner.","47.000,00"
5212,Kendari,Jati Mekar,Ikan Mas Perak,"Ikan mas perak segar, sempurna untuk berbagai olahan kuliner.","39.000,00"
5213,Kendari,Jati Mekar,Ikan Nila,"Ikan nila segar, kaya akan rasa dan gizi.","29.000,00"
5214,Kendari,Jati Mekar,Ikan Kepala Ular,"Ikan kepala ular segar, sempurna untuk berbagai olahan kuliner.","88.000,00"
5215,Kendari,Jati Mekar,Ikan Bulan-bulan,"Ikan bulan-bulan segar, sumber protein yang tinggi untuk keluarga.","80.000,00"
5216,Kendari,Jati Mekar,Kacang Kapri,"Dapatkan manfaat gizi yang luar biasa dari kacang kapri. Kaya vitamin dan mineral, baik untuk kesehatan Anda","27.000,00"
5217,Kendari,Jati Mekar,Pare,Pare segar dengan harga Rp 26.000/kg. Kualitas premium untuk masakan sehari-hari. Pare ini kaya akan nutrisi penting yang baik untuk tubuh. Ideal untuk segala jenis masakan sehat,"26.000,00"
5218,Kendari,Jati Mekar,Labu Air,"Labu air segar seharga Rp 20.000 per buah, pas untuk membuat berbagai jenis masakan. Tambahkan ke dalam menu harian Anda untuk nutrisi tambahan yang bermanfaat.","20.000,00"
5219,Kendari,Jati Mekar,Terong,"Terong segar hanya Rp 22.000 per kilogram, memberikan rasa segar dan lezat pada masakan Anda.","22.000,00"
